split_group_id,split
11BR042,train
20BR008,train
11BR060,train
11BR015,train
09BR007,train
01BR040,train
11BR073,train
11BR078,train
18BR019,train
11BR030,train
05BR009,train
11BR050,train
01BR025,train
14BR014,train
11BR012,train
11BR054,train
20BR001,train
14BR005,train
05BR001,train
06BR014,train
01BR008,train
05BR029,train
03BR005,train
01BR020,train
06BR003,train
11BR058,train
22BR006,train
01BR023,train
11BR027,train
11BR017,train
11BR011,train
11BR036,train
09BR001,train
11BR016,train
11BR014,train
11BR051,train
03BR006,train
11BR038,train
11BR031,train
11BR074,train
11BR025,train
18BR002,train
20BR006,train
03BR011,train
01BR018,train
16BR012,train
11BR040,train
11BR028,train
22BR005,train
11BR003,train
01BR009,train
18BR007,train
11BR044,train
14BR008,train
06BR006,train
03BR010,train
11BR020,train
11BR022,train
09BR004,train
09BR005,train
11BR076,train
01BR043,train
11BR056,train
01BR026,train
11BR049,train
01BR033,train
11BR024,train
01BR017,train
05BR043,train
11BR009,train
11BR010,train
01BR030,train
11BR013,train
18BR004,train
20BR002,train
11BR057,train
18BR003,train
03BR002,train
13BR009,train
11BR006,train
18BR009,train
03BR004,val
01BR001,val
21BR001,val
18BR010,val
11BR023,val
20BR007,val
11BR018,val
18BR017,val
11BR080,val
11BR072,val
03BR013,val
11BR047,val
18BR006,val
11BR055,val
11BR032,val
05BR005,val
05BR003,val
18BR016,test
21BR010,test
01BR015,test
11BR019,test
11BR053,test
01BR027,test
11BR043,test
20BR005,test
11BR075,test
01BR031,test
21BR002,test
01BR042,test
05BR004,test
05BR016,test
06BR005,test
15BR003,test
01BR010,test
01BR032,test
11BR059,test
