split_group_id,split
01BR010,train
01BR015,train
01BR018,train
01BR020,train
01BR023,train
01BR025,train
01BR026,train
01BR027,train
01BR030,train
01BR031,train
01BR032,train
01BR033,train
01BR043,train
03BR004,train
03BR010,train
03BR011,train
05BR003,train
05BR004,train
05BR005,train
06BR003,train
06BR005,train
06BR006,train
06BR014,train
09BR004,train
09BR005,train
09BR007,train
11BR009,train
11BR010,train
11BR012,train
11BR013,train
11BR014,train
11BR015,train
11BR016,train
11BR017,train
11BR018,train
11BR019,train
11BR020,train
11BR022,train
11BR024,train
11BR025,train
11BR027,train
11BR031,train
11BR032,train
11BR036,train
11BR040,train
11BR042,train
11BR043,train
11BR047,train
11BR049,train
11BR050,train
11BR053,train
11BR054,train
11BR057,train
11BR058,train
11BR059,train
11BR073,train
11BR074,train
11BR076,train
11BR078,train
11BR080,train
13BR009,train
14BR005,train
14BR008,train
14BR014,train
15BR003,train
16BR012,train
18BR007,train
18BR009,train
18BR016,train
18BR019,train
20BR002,train
20BR006,train
20BR007,train
21BR001,train
21BR010,train
22BR005,train
01BR008,val
01BR017,val
01BR040,val
01BR042,val
03BR002,val
03BR005,val
03BR006,val
05BR001,val
05BR009,val
11BR003,val
11BR006,val
11BR023,val
11BR044,val
11BR051,val
11BR055,val
11BR060,val
11BR072,val
21BR002,val
01BR001,test
01BR009,test
03BR013,test
05BR016,test
05BR029,test
05BR043,test
09BR001,test
11BR011,test
11BR028,test
11BR030,test
11BR038,test
11BR056,test
11BR075,test
18BR002,test
18BR003,test
18BR004,test
18BR006,test
18BR010,test
18BR017,test
20BR001,test
20BR005,test
20BR008,test
22BR006,test
