model,feature_model,fold,test_pearson_r,best_val_pearson,test_spearman_r,best_epoch,total_params,top1k_pearson
moae_h512,exaone2,1,0.3796,0.4241,0.3036,39,3670347,0.7750
moae_h512,exaone2,2,0.4245,0.4123,0.3551,38,3670347,0.7696
moae_h512,exaone2,3,0.3976,0.4432,0.3367,60,3670347,0.7187
moae_h512,exaone2,4,0.3475,0.4532,0.2741,61,3670347,0.7100
moae_h512,exaone2,5,0.4076,0.3422,0.3252,51,3670347,0.7969
dualpath_h1536,exaone2,1,0.3704,0.4284,0.3039,36,27711687,0.7663
dualpath_h1536,exaone2,2,0.4389,0.4166,0.3494,29,27711687,0.7859
dualpath_h1536,exaone2,3,0.3786,0.4340,0.3366,37,27711687,0.7221
dualpath_h1536,exaone2,4,0.3191,0.4507,0.2486,30,27711687,0.6915
dualpath_h1536,exaone2,5,0.3995,0.3294,0.3135,39,27711687,0.7891
moae_h1024_dp05,exaone2,1,0.3992,0.4442,0.3422,52,20685261,0.7781
moae_h1024_dp05,exaone2,2,0.4521,0.4214,0.3657,25,20685261,0.7978
moae_h1024_dp05,exaone2,3,0.4056,0.4603,0.3400,54,20685261,0.7364
moae_h1024_dp05,exaone2,4,0.3309,0.4542,0.2548,25,20685261,0.7057
moae_h1024_dp05,exaone2,5,0.3960,0.3464,0.3193,40,20685261,0.7808
moae_h512,uni2-h,1,0.4073,0.5065,0.3684,71,4063563,0.7685
moae_h512,uni2-h,2,0.5004,0.5010,0.4356,69,4063563,0.8228
moae_h512,uni2-h,3,0.5140,0.5026,0.4736,84,4063563,0.8037
moae_h512,uni2-h,4,0.3903,0.5001,0.3404,86,4063563,0.7233
moae_h512,uni2-h,5,0.4579,0.4280,0.3826,75,4063563,0.7984
dualpath_h1536,uni2-h,1,0.4274,0.4997,0.3849,61,30070983,0.7772
dualpath_h1536,uni2-h,2,0.4524,0.4561,0.3765,49,30070983,0.7913
dualpath_h1536,uni2-h,3,0.4801,0.4649,0.4339,59,30070983,0.7765
dualpath_h1536,uni2-h,4,0.3647,0.4781,0.3176,52,30070983,0.7182
dualpath_h1536,uni2-h,5,0.3986,0.3455,0.3038,29,30070983,0.7755
moae_h1024_dp05,uni2-h,1,0.4257,0.4840,0.3838,39,21471693,0.7775
moae_h1024_dp05,uni2-h,2,0.5018,0.4984,0.4332,45,21471693,0.8155
moae_h1024_dp05,uni2-h,3,0.5020,0.4970,0.4626,82,21471693,0.7983
moae_h1024_dp05,uni2-h,4,0.3841,0.4984,0.3341,63,21471693,0.7103
moae_h1024_dp05,uni2-h,5,0.4606,0.4139,0.3882,57,21471693,0.8029
moae_h512,conch,1,0.4259,0.4598,0.3562,39,3539275,0.7883
moae_h512,conch,2,0.4936,0.4791,0.4272,73,3539275,0.8238
moae_h512,conch,3,0.4833,0.4663,0.4249,72,3539275,0.7790
moae_h512,conch,4,0.3626,0.4725,0.3181,67,3539275,0.6998
moae_h512,conch,5,0.4489,0.3984,0.3751,89,3539275,0.7934
dualpath_h1536,conch,1,0.4082,0.4498,0.3386,39,26925255,0.7811
dualpath_h1536,conch,2,0.4996,0.4786,0.4313,48,26925255,0.8274
dualpath_h1536,conch,3,0.4703,0.4576,0.4027,50,26925255,0.7766
dualpath_h1536,conch,4,0.3863,0.4660,0.3291,66,26925255,0.7253
dualpath_h1536,conch,5,0.4411,0.3912,0.3693,67,26925255,0.7805
moae_h1024_dp05,conch,1,0.4492,0.4507,0.3939,42,20423117,0.7891
moae_h1024_dp05,conch,2,0.4945,0.4891,0.4303,38,20423117,0.8196
moae_h1024_dp05,conch,3,0.4710,0.4700,0.4141,45,20423117,0.7693
moae_h1024_dp05,conch,4,0.3768,0.4656,0.3271,27,20423117,0.7296
moae_h1024_dp05,conch,5,0.4422,0.4015,0.3714,53,20423117,0.7862
moae_h512,retccl,1,0.4165,0.4408,0.3615,76,4325707,0.7869
moae_h512,retccl,2,0.4666,0.5038,0.4073,86,4325707,0.8083
moae_h512,retccl,3,0.4829,0.4523,0.4229,71,4325707,0.7930
moae_h512,retccl,4,0.3713,0.4698,0.3290,88,4325707,0.7157
moae_h512,retccl,5,0.4341,0.4209,0.3660,98,4325707,0.7664
dualpath_h1536,retccl,1,0.3604,0.3995,0.2944,52,31643847,0.7574
dualpath_h1536,retccl,2,0.4623,0.4853,0.4091,69,31643847,0.8004
dualpath_h1536,retccl,3,0.3909,0.4005,0.2952,32,31643847,0.7580
dualpath_h1536,retccl,4,0.3823,0.4724,0.3287,66,31643847,0.7284
dualpath_h1536,retccl,5,0.4396,0.3947,0.3672,98,31643847,0.7753
moae_h1024_dp05,retccl,1,0.3609,0.3475,0.2694,19,21995981,0.7676
moae_h1024_dp05,retccl,2,0.4201,0.4564,0.3982,63,21995981,0.7748
moae_h1024_dp05,retccl,3,0.4109,0.4255,0.3696,59,21995981,0.7299
moae_h1024_dp05,retccl,4,0.3524,0.4192,0.2859,46,21995981,0.7229
moae_h1024_dp05,retccl,5,0.4345,0.4187,0.3723,72,21995981,0.7663
