model,fold,test_pearson_r,best_val_pearson,test_spearman_r,best_epoch,total_params
moae_h512,1,0.4464,0.4645,0.3837,60,3670347
moae_h512,2,0.4974,0.5160,0.4239,65,3670347
moae_h512,3,0.4906,0.4778,0.4192,69,3670347
moae_h512,4,0.4144,0.5063,0.3309,105,3670347
moae_h512,5,0.4304,0.4261,0.3631,80,3670347
dualpath_h1536,1,0.4127,0.4607,0.3331,39,27711687
dualpath_h1536,2,0.4937,0.5077,0.3967,55,27711687
dualpath_h1536,3,0.4770,0.4700,0.3874,66,27711687
dualpath_h1536,4,0.3925,0.5060,0.3125,77,27711687
dualpath_h1536,5,0.4303,0.4245,0.3577,58,27711687
moae_h1024_dp05,1,0.4174,0.4501,0.3461,33,20685261
moae_h1024_dp05,2,0.4945,0.5103,0.4036,49,20685261
moae_h1024_dp05,3,0.4472,0.4878,0.3759,68,20685261
moae_h1024_dp05,4,0.3895,0.4898,0.3083,47,20685261
moae_h1024_dp05,5,0.4338,0.4337,0.3671,54,20685261

